Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_diff,AnoTrimestre
930483,1884380,2024-07-01,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.454,1.2419,1.3163,"0,04","1,27","1,36","1075,591177","102,8",1039,0,1900-01-01,0.2120999999999999,-1.1042,-1.7879,-0.005746666666666567,1.3128079304824292,-0.00550000000000006,2024Q3
931430,1885327,2024-07-02,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4799,1.2256,1.3142,"0,06","1,25","1,37","1076,182925","102,81",1038,0,1900-01-01,0.2542999999999999,-1.0599,-1.7457,-0.004171666666666463,1.3106982726156635,-0.0020999999999999908,2024Q3
932376,1886273,2024-07-03,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4261,1.2415,1.3037,"0,03","1,28","1,33","1077,226316","102,86",1041,0,1900-01-01,0.1845999999999998,-1.1191000000000002,-1.8154,-0.01064833333333337,1.2969523925266757,-0.010499999999999954,2024Q3
933321,1887218,2024-07-04,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4212,1.2067,1.2987,"0,02","1,28","1,32","1078,06532","102,89",1045,0,1900-01-01,0.2144999999999999,-1.0842,-1.7855,-0.011500000000000066,1.297860136093602,-0.0050000000000001155,2024Q3
934346,1888243,2024-07-05,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4214,1.2339,1.3005,"0,03","1,27","1,33","1078,502285","102,88",1045,0,1900-01-01,0.1875,-1.113,-1.8125,-0.006266666666666643,1.303181350924896,0.0018000000000000238,2024Q3
935213,1889110,2024-07-08,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4239,1.1913,1.2936,"0,04","1,26","1,33","1079,290937","102,91",1044,0,1900-01-01,0.2325999999999999,-1.0610000000000002,-1.7674,-0.010188333333333244,1.3029166768673013,-0.006899999999999906,2024Q3
936159,1890056,2024-07-09,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.4196,1.2,1.2841,"0,04","1,24","1,33","1080,242265","102,95",1045,0,1900-01-01,0.2196,-1.0645,-1.7804,-0.016934999999999922,1.2924637805874841,-0.009500000000000064,2024Q3
937145,1891042,2024-07-10,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.408,1.1952,1.2812,"0,04","1,24","1,32","1080,966573","102,97",1048,0,1900-01-01,0.2127999999999998,-1.0684,-1.7872,-0.017243333333333277,1.2901083287521113,-0.0029000000000001247,2024Q3
938050,1891947,2024-07-11,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.3863,1.1835,1.2768,"0,05","1,23","1,32","1081,667275","102,99",1048,0,1900-01-01,0.2028000000000001,-1.0739999999999998,-1.7972,-0.01881333333333335,1.2866792219002887,-0.0043999999999999595,2024Q3
938995,1892892,2024-07-12,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.3945,1.1986,1.2777,"0,05","1,23","1,32","1082,078418","102,98",1046,0,1900-01-01,0.1958999999999999,-1.0818,-1.8041,-0.015036666666666365,1.288209340947908,0.0009000000000001229,2024Q3
