Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_no_autocorr,taxaIndicativa_diff,AnoTrimestre
872601,1823341,2024-04-01,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7954,0.5648,0.6841,"0,11","0,57","0,8","1116,394777","106,2",723,0,1900-01-01,0.2306,-0.4535,-2.5994,0.013078333333333303,0.679260732999335,0.033144965650965585,0.032500000000000084,2024Q2
873516,1824256,2024-04-02,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7828,0.5499,0.6582,"0,07","0,59","0,73","1117,657937","106,26",722,0,1900-01-01,0.2329,-0.4253,-2.5971,-0.010108333333333275,0.6537423220736149,-0.033683550603522794,-0.025900000000000034,2024Q2
874429,1825169,2024-04-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7874,0.5435,0.6513,"0,03","0,62","0,68","1118,342199","106,27",721,0,1900-01-01,0.2439,-0.4074,-2.5861,-0.014419999999999988,0.6476464667034506,0.0004576050009350574,-0.006900000000000017,2024Q2
875344,1826084,2024-04-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.761,0.5356,0.6422,"0,05","0,59","0,69","1119,124455","106,29",720,0,1900-01-01,0.2254,-0.4167999999999999,-2.6046,-0.020981666666666676,0.6392236113332862,-0.00949924909333022,-0.009099999999999997,2024Q2
876257,1826997,2024-04-05,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7697,0.5375,0.6494,"0,05","0,6","0,7","1119,272491","106,25",718,0,1900-01-01,0.2322,-0.4171999999999999,-2.5978,-0.01124499999999995,0.6458693115186774,0.009051028815041606,0.007199999999999984,2024Q2
877171,1827911,2024-04-08,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7772,0.5367,0.6483,"0,05","0,6","0,7","1119,788764","106,25",717,0,1900-01-01,0.2405,-0.4077999999999999,-2.5895,-0.009469999999999978,0.6446887894818464,-0.0034518458776260363,-0.0010999999999999899,2024Q2
878084,1828824,2024-04-09,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7704,0.5372,0.6452,"0,05","0,6","0,69","1120,428748","106,25",717,0,1900-01-01,0.2331999999999999,-0.412,-2.5968,-0.009918333333333362,0.6426690664892208,-0.002615087469458155,-0.0030999999999999917,2024Q2
878997,1829737,2024-04-10,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.765,0.5464,0.6533,"0,08","0,58","0,73","1120,504577","106,21",714,0,1900-01-01,0.2186,-0.4347,-2.6114,0.000180000000000069,0.6489064405591751,0.008391658941903746,0.008099999999999996,2024Q2
879908,1833381,2024-04-11,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.755,0.5419,0.6391,"0,05","0,59","0,69","1121,390755","106,24",713,0,1900-01-01,0.2130999999999999,-0.426,-2.6169,-0.011616666666666609,0.6406258146291294,-0.0163979986847127,-0.01419999999999999,2024Q2
880819,1834292,2024-04-12,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.768,0.5366,0.6451,"0,05","0,6","0,69","1121,653619","106,21",711,0,1900-01-01,0.2314,-0.4136999999999999,-2.5986,-0.003158333333333374,0.6465617442546392,0.009413602686869416,0.006000000000000005,2024Q2
881728,1835201,2024-04-15,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7583,0.5334,0.6411,"0,11","0,53","0,76","1122,109003","106,2",709,0,1900-01-01,0.2249,-0.4162,-2.6051,-0.004855000000000054,0.643666562769038,-0.006438754353201515,-0.0040000000000000036,2024Q2
882630,1836103,2024-04-16,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7689,0.532,0.6389,"0,05","0,59","0,69","1122,432076","106,17",705,0,1900-01-01,0.2369,-0.402,-2.5931,-0.004794999999999994,0.6464608118364908,-0.0010448303410233173,-0.0021999999999999797,2024Q2
883536,1837009,2024-04-17,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.7585,0.534,0.639,"0,05","0,59","0,69","1122,875949","106,16",704,0,1900-01-01,0.2244999999999999,-0.4145000000000001,-2.6055,-0.00305500000000003,0.6501602165983956,2.848272093125548e-05,9.999999999998899e-05,2024Q2
