Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,AnoTrimestre
767119,1690328,2023-10-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3121,1.0401,1.1944,"0,06","1,14","1,25","10123,538621","99,51","428,03",0,1900-01-01,0.272,-0.9224,-0.628,0.0480999999999998,2023Q4
767939,1691967,2023-10-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3144,1.0537,1.1888,"0,04","1,15","1,23","10129,790856","99,52","426,7",0,1900-01-01,0.2606999999999999,-0.9281,-0.6393000000000001,-0.0055999999999998,2023Q4
768758,1693605,2023-10-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3549,1.0569,1.2114,"0,05","1,16","1,26","10131,190163","99,48","426,02",0,1900-01-01,0.298,-0.9134,-0.602,0.0225999999999999,2023Q4
769577,1695243,2023-10-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3624,1.0515,1.2197,"0,06","1,16","1,28","10135,063363","99,47","425,01",0,1900-01-01,0.3108999999999999,-0.9088,-0.5891000000000001,0.0082999999999999,2023Q4
770396,1696881,2023-10-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3937,1.087,1.2352,"0,06","1,18","1,29","10137,727033","99,44","424,02",0,1900-01-01,0.3067,-0.9285,-0.5933,0.0155,2023Q4
771215,1698519,2023-10-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4082,1.1275,1.278,"0,07","1,21","1,35","10135,778868","99,37","423,26",0,1900-01-01,0.2806999999999999,-0.9973,-0.6193000000000001,0.0427999999999999,2023Q4
772034,1700157,2023-10-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4007,1.1289,1.2771,"0,07","1,21","1,34","10141,20557","99,38","422,44",0,1900-01-01,0.2718,-1.0053,-0.6282,-0.0009000000000001,2023Q4
772853,1702614,2023-10-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4039,1.1037,1.2735,"0,03","1,24","1,31","10147,15705","99,38","421,16",0,1900-01-01,0.3002,-0.9733,-0.5998,-0.0035999999999998,2023Q4
773672,1704252,2023-10-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3899,1.104,1.2636,"0,02","1,24","1,29","10154,159698","99,4","419,89",0,1900-01-01,0.2858999999999998,-0.9777000000000002,-0.6141000000000002,-0.0099,2023Q4
774491,1705888,2023-10-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3626,1.1071,1.2296,"0,05","1,18","1,28","10165,116904","99,46","419,09",0,1900-01-01,0.2555,-0.9741,-0.6445,-0.034,2023Q4
775308,1707522,2023-10-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3363,1.1056,1.2042,"0,05","1,15","1,26","10174,689162","99,5","417,81",0,1900-01-01,0.2307000000000001,-0.9734999999999998,-0.6692999999999999,-0.0254,2023Q4
776125,1709155,2023-10-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3468,1.1032,1.2203,"0,06","1,16","1,28","10177,316808","99,48","416,7",0,1900-01-01,0.2436,-0.9767,-0.6564,0.0161,2023Q4
776941,1710787,2023-10-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3246,1.1011,1.1971,"0,05","1,14","1,25","10186,50028","99,52","415,47",0,1900-01-01,0.2235,-0.9736,-0.6765,-0.0231999999999998,2023Q4
777757,1712419,2023-10-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3201,1.1078,1.1758,"0,07","1,1","1,25","10195,292923","99,55","414,8",0,1900-01-01,0.2123000000000001,-0.9634999999999998,-0.6876999999999999,-0.0213,2023Q4
778573,1714051,2023-10-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2945,1.0931,1.1707,"0,08","1,09","1,25","10201,433772","99,56","413,77",0,1900-01-01,0.2014,-0.9693,-0.6986,-0.0050999999999998,2023Q4
779389,1715681,2023-10-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2672,1.089,1.1508,"0,05","1,1","1,2","10209,996159","99,59","413,01",0,1900-01-01,0.1782000000000001,-0.9726,-0.7217999999999999,-0.0199,2023Q4
780206,1718180,2023-10-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2336,1.056,1.1306,"0,04","1,1","1,17","10218,622668","99,63","412,03",0,1900-01-01,0.1775999999999999,-0.953,-0.7224,-0.0201999999999999,2023Q4
781047,1719862,2023-10-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2579,1.0483,1.125,"0,07","1,06","1,19","10224,804104","99,64","411,36",0,1900-01-01,0.2096,-0.9154,-0.6904,-0.0056,2023Q4
781888,1720703,2023-10-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2816,1.0444,1.1363,"0,03","1,1","1,17","10228,268971","99,62","409,96",0,1900-01-01,0.2372,-0.8991,-0.6628,0.0113,2023Q4
782729,1722384,2023-10-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3002,1.0488,1.1341,"0,03","1,11","1,16","10233,96057","99,62","408,58",0,1900-01-01,0.2514,-0.8827,-0.6486,-0.0021999999999999,2023Q4
783569,1724063,2023-10-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2451,1.0463,1.1279,"0,08","1,05","1,21","10240,266203","99,64","407,65",0,1900-01-01,0.1988000000000001,-0.9290999999999998,-0.7011999999999999,-0.0062000000000002,2023Q4
784408,1726580,2023-11-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2508,1.0483,1.1278,"0,08","1,05","1,21","10245,552926","99,64","406,95",0,1900-01-01,0.2024999999999999,-0.9253,-0.6975000000000001,-9.9999999999989e-05,2023Q4
785246,1728256,2023-11-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2628,1.0477,1.1341,"0,07","1,06","1,21","10249,795137","99,63","406,25",0,1900-01-01,0.2150999999999998,-0.9190000000000004,-0.6849000000000002,0.0063000000000001,2023Q4
786084,1729932,2023-11-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2519,1.0488,1.1237,"0,05","1,07","1,18","10256,626341","99,64","405,14",0,1900-01-01,0.2031,-0.9206,-0.6969,-0.0104000000000001,2023Q4
786922,1731608,2023-11-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2498,1.0416,1.113,"0,03","1,08","1,14","10263,478444","99,66","404,3",0,1900-01-01,0.2081999999999999,-0.9048,-0.6918000000000001,-0.0106999999999999,2023Q4
787760,1733284,2023-11-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2628,1.0407,1.1297,"0,08","1,05","1,21","10265,884367","99,64","403,31",0,1900-01-01,0.2220999999999999,-0.9076,-0.6779000000000001,0.0166999999999999,2023Q4
788598,1734960,2023-11-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2378,1.0084,1.1056,"0,06","1,05","1,16","10274,92663","99,68","402,3",0,1900-01-01,0.2294,-0.8761999999999999,-0.6706,-0.0241,2023Q4
