Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,AnoTrimestre
621179,1386394,2023-01-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2486,1.0311,1.1451,0,"1,14","1,15","10480,251311","99,48","545,0256",0,1900-01-01,0.2175,-0.9276,-0.6825,-0.002,2023Q1
621953,1387942,2023-01-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2753,1.0111,1.1465,0,"1,14","1,15","10485,843219","99,48","542,9513",0,1900-01-01,0.2642,-0.8823000000000001,-0.6358,0.0014,2023Q1
622727,1389490,2023-01-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.241,1.0397,1.148,0,"1,14","1,15","10491,368526","99,47","541,3634",0,1900-01-01,0.2013,-0.9467,-0.6987,0.0014999999999998,2023Q1
623501,1391038,2023-01-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2387,1.0461,1.1482,0,"1,14","1,15","10497,05363","99,47","541,0881",0,1900-01-01,0.1925999999999998,-0.9556000000000002,-0.7074000000000001,0.0002000000000002,2023Q1
624275,1392586,2023-01-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2455,1.041,1.1488,0,"1,15","1,15","10502,644123","99,47","540,8956",0,1900-01-01,0.2045000000000001,-0.9443,-0.6954999999999999,0.0005999999999999,2023Q1
625049,1394134,2023-01-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2388,1.041,1.1494,0,"1,15","1,15","10508,277844","99,47","540,3129",0,1900-01-01,0.1977999999999999,-0.9516,-0.7022,0.0005999999999999,2023Q1
625823,1395682,2023-01-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2515,1.041,1.1491,0,"1,15","1,15","10514,129456","99,47","539,5945",0,1900-01-01,0.2105000000000001,-0.9386,-0.6894999999999999,-0.0002999999999999,2023Q1
626596,1397228,2023-01-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.24,1.0461,1.1492,0,"1,15","1,15","10519,87066","99,47","539,1134",0,1900-01-01,0.1938999999999999,-0.9553,-0.7061000000000001,9.9999999999989e-05,2023Q1
627369,1398774,2023-01-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2863,1.0742,1.1457,"0,03","1,11","1,18","10526,404984","99,48","538,7454",0,1900-01-01,0.2120999999999999,-0.9336,-0.6879000000000001,-0.0035,2023Q1
628142,1400320,2023-01-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3474,1.0383,1.1619,"0,07","1,09","1,23","10528,635088","99,45","537,6523",35,1900-01-01,0.3090999999999999,-0.8528,-0.5909000000000001,0.0161999999999999,2023Q1
