Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_diff,AnoTrimestre
716442,1584504,2023-07-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5717,2.2216,2.4238,"0,05","2,38","2,47","1035,224629","98,09","1170,84",0,1900-01-01,0.3500999999999998,-2.0737,-1.6499,0.03813333333333313,2.4087520153833477,0.0005999999999999339,2023Q3
717226,1586072,2023-07-04,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5684,2.235,2.4147,0,"2,41","2,42","1036,314844","98,13","1167,68",0,1900-01-01,0.3334000000000001,-2.0813,-1.6666,0.03142833333333339,2.40501475777201,-0.009100000000000108,2023Q3
718010,1587637,2023-07-05,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6379,2.236,2.4082,"0,02","2,38","2,43","1037,305597","98,17","1163,05",0,1900-01-01,0.4018999999999999,-2.0063,-1.5981,0.02748666666666688,2.400762766571911,-0.00649999999999995,2023Q3
718791,1589199,2023-07-06,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6267,2.23,2.4009,"0,01","2,39","2,41","1038,310576","98,21","1159,77",0,1900-01-01,0.3967,-2.0042,-1.6033,0.02326499999999987,2.397091664260701,-0.007299999999999862,2023Q3
719572,1590760,2023-07-07,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6339,2.2312,2.4011,"0,03","2,37","2,43","1038,83918","98,2","1164,15",0,1900-01-01,0.4027000000000003,-1.9984,-1.5972999999999995,0.02677666666666667,2.392664339727269,0.00019999999999997797,2023Q3
720352,1592320,2023-07-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6372,2.2362,2.4011,"0,02","2,38","2,42","1039,488507","98,2","1161,68",0,1900-01-01,0.4009999999999998,-2.0001,-1.5990000000000002,0.030153333333333254,2.398701015193837,0.0,2023Q3
721132,1593880,2023-07-11,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6161,2.2197,2.4095,"0,05","2,36","2,46","1039,714818","98,17","1160,94",35,1900-01-01,0.3963999999999998,-2.0131,-1.6036,0.04216500000000023,2.4067038017715157,0.008399999999999963,2023Q3
721912,1595439,2023-07-12,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5695,2.2267,2.4019,"0,02","2,38","2,43","1040,683253","98,2","1160,88",10,1900-01-01,0.3428,-2.0591,-1.6572,0.03878166666666649,2.4004586994603057,-0.007600000000000051,2023Q3
722690,1596995,2023-07-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5671,2.215,2.4031,"0,04","2,36","2,45","1041,299273","98,2","1157,07",40,1900-01-01,0.3521000000000001,-2.051,-1.6479,0.04510833333333286,2.399607930482429,0.0011999999999998678,2023Q3
723468,1598551,2023-07-14,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5601,2.198,2.389,"0,08","2,31","2,47","1042,627387","98,27","1153,61",45,1900-01-01,0.3620999999999998,-2.0269,-1.6379,0.038023333333332854,2.3854982726156635,-0.014100000000000001,2023Q3
724244,1599327,2023-07-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5543,2.1567,2.3791,"0,08","2,3","2,46","1043,694016","98,31","1154,22",15,1900-01-01,0.3976000000000002,-1.9815,-1.6023999999999998,0.03654666666666717,2.372352392526676,-0.009899999999999576,2023Q3
725019,1600877,2023-07-18,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5543,2.1567,2.3658,"0,08","2,28","2,45","1044,908752","98,37","1155,74",5,1900-01-01,0.3976000000000002,-1.9682,-1.6023999999999998,0.032046666666667,2.364960136093602,-0.01330000000000009,2023Q3
725794,1602427,2023-07-19,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5817,2.172,2.3578,"0,06","2,3","2,42","1045,947265","98,41","1152,38",0,1900-01-01,0.4096999999999999,-1.9481,-1.5903,0.033733333333333615,2.360481350924896,-0.008000000000000007,2023Q3
726569,1603977,2023-07-20,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5359,2.1664,2.3503,"0,06","2,29","2,41","1046,974306","98,45","1148,1",0,1900-01-01,0.3694999999999999,-1.9808,-1.6305,0.036664999999999726,2.359616676867301,-0.007500000000000284,2023Q3
727344,1605527,2023-07-21,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5251,2.1067,2.3405,"0,09","2,25","2,43","1048,017179","98,49","1150,31",0,1900-01-01,0.4184000000000001,-1.9221,-1.5816,0.037819999999999965,2.348863780587484,-0.009799999999999809,2023Q3
