Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_diff,AnoTrimestre
767215,1690424,2023-10-02,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9676,1.674,1.8217,"0,03","1,79","1,85","1027,100144","100,81","1166,67",0,1900-01-01,0.2936000000000001,-1.5281,-1.7064,-0.02230999999999983,1.8132643397272692,0.012500000000000178,2023Q4
768035,1692063,2023-10-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9622,1.6723,1.8202,"0,03","1,79","1,85","1027,685475","100,81","1159,58",35,1900-01-01,0.2899,-1.5303,-1.7101,-0.019871666666666732,1.8178010151938369,-0.0015000000000000568,2023Q4
768854,1693701,2023-10-04,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9704,1.6921,1.8298,"0,03","1,8","1,86","1027,829445","100,77","1162,86",10,1900-01-01,0.2783,-1.5515,-1.7217,-0.00586999999999982,1.8270038017715158,0.009600000000000053,2023Q4
769673,1695339,2023-10-05,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9854,1.7207,1.8426,"0,03","1,81","1,87","1027,787068","100,71","1160,63",5,1900-01-01,0.2647000000000001,-1.5779,-1.7352999999999998,0.011414999999999953,1.8411586994603057,0.012799999999999923,2023Q4
770492,1696977,2023-10-06,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9985,1.7184,1.8655,"0,02","1,84","1,89","1027,290277","100,61","1160,42",0,1900-01-01,0.2801,-1.5854,-1.7199,0.03792333333333331,1.862007930482429,0.02289999999999992,2023Q4
771311,1698615,2023-10-09,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0113,1.7304,1.8702,"0,04","1,83","1,91","1027,657943","100,59","1164,12",0,1900-01-01,0.2808999999999999,-1.5893000000000002,-1.7191,0.04603500000000027,1.8666982726156636,0.0047000000000001485,2023Q4
772130,1700253,2023-10-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0161,1.7305,1.8733,"0,04","1,83","1,91","1028,090543","100,58","1166,14",35,1900-01-01,0.2855999999999998,-1.5877,-1.7144,0.052583333333333204,1.8665523925266756,0.0030999999999998806,2023Q4
772949,1702710,2023-10-11,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0165,1.6899,1.8467,"0,03","1,81","1,88","1029,884905","100,7","1163,83",10,1900-01-01,0.3266000000000002,-1.5200999999999998,-1.6733999999999998,0.029033333333333244,1.845860136093602,-0.026599999999999957,2023Q4
773768,1704348,2023-10-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0058,1.6803,1.8392,"0,02","1,82","1,86","1030,771245","100,73","1158,96",5,1900-01-01,0.3254999999999999,-1.5137,-1.6745,0.023586666666666645,1.841881350924896,-0.007500000000000062,2023Q4
774587,1705984,2023-10-16,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9977,1.6786,1.8289,"0,03","1,8","1,86","1031,834214","100,78","1161,25",0,1900-01-01,0.3190999999999999,-1.5098,-1.6809,0.014704999999999968,1.8382166768673012,-0.010299999999999976,2023Q4
775404,1707618,2023-10-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9839,1.6776,1.8217,"0,03","1,79","1,86","1032,697205","100,8","1155,43",0,1900-01-01,0.3063,-1.5154,-1.6937,0.00900499999999993,1.8300637805874842,-0.007199999999999873,2023Q4
776221,1709251,2023-10-18,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9968,1.6692,1.8186,"0,04","1,78","1,86","1033,399454","100,82","1153,91",35,1900-01-01,0.3275999999999999,-1.491,-1.6724,0.007894999999999985,1.8275083287521114,-0.0031000000000001027,2023Q4
777037,1710883,2023-10-19,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.973,1.6773,1.8158,"0,04","1,77","1,86","1034,052538","100,83","1147,62",45,1900-01-01,0.2957000000000001,-1.5201,-1.7043,0.008036666666666692,1.8256792219002889,-0.0027999999999999137,2023Q4
777853,1712515,2023-10-20,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9771,1.674,1.8132,"0,04","1,77","1,86","1034,765498","100,84","1150,64",15,1900-01-01,0.3031000000000001,-1.5100999999999998,-1.6969,0.008790000000000076,1.823709340947908,-0.0026000000000001577,2023Q4
778669,1714147,2023-10-23,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9447,1.6639,1.8064,"0,05","1,76","1,85","1035,642868","100,87","1149,58",40,1900-01-01,0.2808000000000001,-1.5255999999999998,-1.7191999999999998,0.0050366666666668,1.820956721900289,-0.006799999999999917,2023Q4
779485,1715777,2023-10-24,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9507,1.6577,1.786,"0,05","1,73","1,84","1037,184344","100,96","1152,48",10,1900-01-01,0.2930000000000001,-1.493,-1.707,-0.012084999999999901,1.7997574361860034,-0.020399999999999974,2023Q4
