Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_no_autocorr,taxaIndicativa_diff,AnoTrimestre
621261,1386476,2023-01-02,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4123,1.0933,1.2825,"0,04","1,24","1,32","1076,38591","105,46","889,7187",0,1900-01-01,0.3190000000000002,-0.9634999999999998,-2.511,0.04226702830305262,1.2793587480448587,0.3557082104166768,,2023Q1
622035,1388024,2023-01-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4254,1.0933,1.283,"0,04","1,24","1,32","1076,747073","105,43","885,3084",0,1900-01-01,0.3321,-0.9509,-2.4979,0.030715469904832426,1.2728190741602956,0.0007664085738303683,0.0004999999999999449,2023Q1
622809,1389572,2023-01-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4281,1.1,1.2774,"0,04","1,24","1,32","1077,419333","105,43","882,2267",0,1900-01-01,0.3280999999999998,-0.9493000000000004,-2.5019,0.013063911506612236,1.2657889558312883,-0.0053835252902585395,-0.005599999999999827,2023Q1
623583,1391120,2023-01-05,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4221,1.1216,1.2804,"0,05","1,23","1,33","1078,111846","105,44","884,3296",0,1900-01-01,0.3005,-0.9799,-2.5295,0.004012353108391986,1.2700229486133916,0.004594814984797413,0.0029999999999998916,2023Q1
624357,1392668,2023-01-06,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4001,1.1205,1.2792,"0,05","1,23","1,33","1078,963052","105,46","886,4779",0,1900-01-01,0.2795999999999998,-0.9996,-2.5504,-0.009239205289828467,1.2697502747288285,-0.0018636724168865637,-0.0012000000000000899,2023Q1
625131,1394216,2023-01-09,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4267,1.1016,1.2794,"0,04","1,24","1,31","1079,659646","105,46","887,0355",0,1900-01-01,0.3251000000000001,-0.9543,-2.5049,-0.02109076368804841,1.2715883767022147,0.001000868742183858,0.00020000000000020002,2023Q1
625905,1395764,2023-01-10,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4006,1.1193,1.2749,"0,04","1,24","1,31","1080,566884","105,48","888,1545",0,1900-01-01,0.2813000000000001,-0.9935999999999998,-2.5487,-0.03764232208626872,1.2683276324431614,-0.004349115563007544,-0.0045000000000001705,2023Q1
626678,1397310,2023-01-11,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4208,1.1226,1.2743,"0,05","1,22","1,32","1081,342612","105,49","889,4559",0,1900-01-01,0.2982,-0.9761,-2.5318,-0.05029388048448902,1.2717464437396637,0.0007604140214449995,-0.0005999999999999339,2023Q1
627451,1398856,2023-01-12,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.4245,1.1193,1.2772,"0,05","1,23","1,33","1082,000804","105,49","890,9423",0,1900-01-01,0.3052000000000001,-0.9719999999999998,-2.5248,-0.059445438882709256,1.2735322550361659,0.0030999952619814586,0.0028999999999999027,2023Q1
628224,1400402,2023-01-13,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.6168,1.12,1.318,"0,16","1,15","1,48","1081,014106","105,33","888,8164",0,1900-01-01,0.4967999999999999,-0.8212000000000002,-2.3332,-0.030696997280929228,1.3131607329993351,0.04047205986430469,0.04080000000000017,2023Q1
