Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_diff,AnoTrimestre
817826,1765863,2024-01-02,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7841,1.4664,1.643,"0,13","1,52","1,77","1069,49995","101,59",1138,0,1900-01-01,0.3177000000000001,-1.3253,-1.6823,0.02396166666666666,1.6345643397272691,0.014499999999999957,2024Q1
818708,1766745,2024-01-03,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7616,1.4807,1.612,"0,07","1,54","1,68","1071,499673","101,73",1137,0,1900-01-01,0.2809000000000001,-1.3311,-1.7191,-0.005341666666666578,1.609601015193837,-0.030999999999999917,2024Q1
819586,1767623,2024-01-04,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7576,1.4884,1.6196,"0,06","1,56","1,68","1071,654837","101,69",1134,0,1900-01-01,0.2692000000000001,-1.3503999999999998,-1.7308,0.0041800000000000725,1.6168038017715156,0.007599999999999829,2024Q1
820594,1768631,2024-01-05,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.753,1.505,1.6233,"0,04","1,59","1,66","1072,015682","101,67",1133,0,1900-01-01,0.248,-1.3753,-1.752,0.00974166666666676,1.6218586994603057,0.0037000000000000366,2024Q1
821346,1769383,2024-01-08,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7555,1.504,1.6329,"0,1","1,53","1,73","1072,07794","101,63",1131,0,1900-01-01,0.2515,-1.3814,-1.7485,0.021076666666666855,1.6294079304824292,0.009600000000000053,2024Q1
822227,1770264,2024-01-09,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7785,1.4908,1.6187,"0,1","1,52","1,72","1073,269808","101,69",1129,0,1900-01-01,0.2877,-1.331,-1.7123,0.008568333333333289,1.6151982726156635,-0.01419999999999999,2024Q1
823108,1771145,2024-01-10,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7577,1.481,1.6239,"0,06","1,57","1,68","1073,56053","101,66",1128,0,1900-01-01,0.2766999999999999,-1.3472,-1.7233,0.015619999999999967,1.6171523925266755,0.005199999999999871,2024Q1
823986,1772023,2024-01-11,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7531,1.4832,1.6221,"0,03","1,59","1,66","1074,197071","101,67",1128,0,1900-01-01,0.2699,-1.3522,-1.7301,0.0159316666666669,1.621260136093602,-0.0017999999999998018,2024Q1
824867,1772904,2024-01-12,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7576,1.4804,1.6258,"0,04","1,59","1,66","1074,59477","101,66",1129,0,1900-01-01,0.2772000000000001,-1.3485999999999998,-1.7228,0.021333333333333426,1.6284813509248959,0.0036999999999998145,2024Q1
825746,1773783,2024-01-15,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7588,1.48,1.6231,"0,04","1,59","1,66","1075,26402","101,67",1128,0,1900-01-01,0.2787999999999999,-1.3443,-1.7212,0.019861666666666666,1.6324166768673012,-0.0026999999999999247,2024Q1
826623,1774660,2024-01-16,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7504,1.4697,1.6214,"0,04","1,58","1,66","1075,807695","101,67",1122,0,1900-01-01,0.2806999999999999,-1.3407,-1.7193,0.019199999999999884,1.629763780587484,-0.0017000000000000348,2024Q1
827500,1775537,2024-01-17,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7267,1.4706,1.6083,"0,04","1,57","1,65","1076,953449","101,72",1121,0,1900-01-01,0.2561,-1.3522,-1.7439,0.007271666666666787,1.6172083287521115,-0.01309999999999989,2024Q1
828377,1776414,2024-01-18,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7353,1.4695,1.6086,"0,04","1,57","1,65","1077,489027","101,72",1120,0,1900-01-01,0.2658,-1.3428,-1.7342,0.00894000000000017,1.6184792219002888,0.00029999999999996696,2024Q1
829254,1777291,2024-01-19,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.709,1.466,1.5958,"0,04","1,55","1,64","1078,643297","101,78",1120,0,1900-01-01,0.2430000000000001,-1.3528,-1.757,-0.0018599999999997507,1.6063093409479081,-0.012799999999999923,2024Q1
830130,1778167,2024-01-22,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7049,1.4669,1.5945,"0,05","1,55","1,64","1079,209356","101,78",1117,0,1900-01-01,0.238,-1.3565,-1.762,-0.00045999999999990493,1.609056721900289,-0.0013000000000000789,2024Q1
831005,1779042,2024-01-23,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7064,1.466,1.5878,"0,04","1,55","1,63","1080,079407","101,81",1117,0,1900-01-01,0.2403999999999999,-1.3474000000000002,-1.7596,-0.004383333333333184,1.6015574361860034,-0.006699999999999928,2024Q1
831892,1779929,2024-01-24,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7,1.4624,1.5843,"0,05","1,54","1,63","1080,793344","101,82",1117,0,1900-01-01,0.2376,-1.3467,-1.7624,-0.005689999999999973,1.5968462457098127,-0.0035000000000000586,2024Q1
832796,1780833,2024-01-25,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6936,1.46,1.574,"0,02","1,55","1,6","1081,854841","101,87",1118,0,1900-01-01,0.2336,-1.3404,-1.7664,-0.013956666666666395,1.5860569599955272,-0.010299999999999976,2024Q1
833704,1781741,2024-01-26,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6929,1.4729,1.5804,"0,05","1,53","1,63","1082,116368","101,84",1118,0,1900-01-01,0.2199999999999999,-1.3604,-1.78,-0.004933333333333234,1.5898335076145746,0.006399999999999961,2024Q1
834604,1782641,2024-01-29,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6974,1.4656,1.567,"0,05","1,52","1,62","1083,261298","101,9",1116,0,1900-01-01,0.2318,-1.3352,-1.7682,-0.015243333333333275,1.5758238647574319,-0.013400000000000079,2024Q1
835508,1783545,2024-01-30,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6791,1.4804,1.5721,"0,06","1,52","1,63","1083,546154","101,87",1114,0,1900-01-01,0.1987000000000001,-1.3734,-1.8013,-0.007394999999999818,1.5831682695193365,0.0051000000000001044,2024Q1
836413,1784450,2024-01-31,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6814,1.4733,1.5628,"0,04","1,53","1,6","1084,566672","101,91",1115,0,1900-01-01,0.2080999999999999,-1.3547,-1.7919,-0.014191666666666602,1.5685482695193367,-0.009300000000000086,2024Q1
837315,1785352,2024-02-01,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6633,1.4712,1.5534,"0,06","1,49","1,61","1085,569813","101,96",1115,0,1900-01-01,0.1920999999999999,-1.3613,-1.8079,-0.02072000000000007,1.5385638395089192,-0.009400000000000075,2024Q1
838216,1788055,2024-02-02,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6745,1.4716,1.5726,"0,05","1,52","1,63","1085,132978","101,86",1111,0,1900-01-01,0.2029,-1.3697,-1.7971,0.0016516666666666069,1.555995300144193,0.019200000000000106,2024Q1
839117,1788956,2024-02-05,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6849,1.4791,1.5762,"0,04","1,54","1,61","1085,47102","101,84",1109,0,1900-01-01,0.2057999999999999,-1.3704,-1.7942,0.008715000000000028,1.5534832052239114,0.0036000000000000476,2024Q1
840018,1789857,2024-02-06,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6786,1.4715,1.5721,"0,04","1,54","1,61","1086,220962","101,86",1110,0,1900-01-01,0.2071,-1.365,-1.7929,0.007976666666666743,1.5542398880814075,-0.0040999999999999925,2024Q1
840919,1790758,2024-02-07,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6667,1.4837,1.5674,"0,04","1,53","1,61","1086,957067","101,88",1109,0,1900-01-01,0.183,-1.3844,-1.817,0.006393333333333251,1.5523520153833477,-0.0047000000000001485,2024Q1
841820,1791659,2024-02-08,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6788,1.4685,1.5647,"0,04","1,52","1,61","1087,568145","101,89",1106,0,1900-01-01,0.2103000000000001,-1.3543999999999998,-1.7896999999999998,0.006596666666666584,1.5550147577720101,-0.0026999999999999247,2024Q1
842723,1792562,2024-02-09,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6692,1.4621,1.5542,"0,06","1,5","1,61","1088,583904","101,93",1105,0,1900-01-01,0.2071,-1.3471,-1.7929,-0.0012133333333335106,1.5467627665719113,-0.010499999999999954,2024Q1
843620,1794360,2024-02-15,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6768,1.4547,1.5451,"0,06","1,49","1,61","1021,024221","102,1",1176,0,1900-01-01,0.2220999999999999,-1.323,-1.7779,-0.007765000000000022,1.541291664260701,-0.009100000000000108,2024Q1
844517,1795257,2024-02-14,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.7004,1.4624,1.5598,"0,06","1,5","1,62","1088,80806","101,9",1102,0,1900-01-01,0.238,-1.3218,-1.762,0.009378333333333266,1.5513643397272692,0.014700000000000157,2024Q1
845416,1796156,2024-02-16,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6615,1.4558,1.5636,"0,03","1,54","1,59","1020,628867","102,01",1173,0,1900-01-01,0.2057,-1.3579,-1.7943,0.01540000000000008,1.561201015193837,0.0038000000000000256,2024Q1
