Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_no_autocorr,taxaIndicativa_diff,AnoTrimestre
669569,1483795,2023-04-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8592,1.5437,1.7238,"0,07","1,65","1,8","1099,643226","103,63","833,6963",0,1900-01-01,0.3154999999999999,-1.4083,-2.5145,-0.018715000000000037,1.7134229486133916,-0.000625532354825209,-0.0023999999999999577,2023Q2
670335,1485327,2023-04-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8574,1.5577,1.723,"0,05","1,67","1,77","1100,32033","103,62","833,0345",35,1900-01-01,0.2996999999999998,-1.4233000000000002,-2.5303000000000004,-0.020651666666666513,1.7135502747288287,0.000196532445762454,-0.0007999999999999119,2023Q2
671101,1486859,2023-04-05,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8165,1.5635,1.7221,"0,07","1,65","1,79","1101,023893","103,63","832,8459",10,1900-01-01,0.2530000000000001,-1.4691,-2.577,-0.0225683333333333,1.7142883767022146,-9.091990033494035e-05,-0.0009000000000001229,2023Q2
671867,1489157,2023-04-06,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9219,1.5635,1.7282,"0,08","1,65","1,81","1101,390756","103,6","830,7622",40,1900-01-01,0.3584,-1.3698,-2.4716,-0.01816333333333331,1.7216276324431614,0.0069733618707930045,0.006099999999999994,2023Q2
672633,1490688,2023-04-10,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9079,1.5649,1.728,"0,06","1,67","1,79","1102,041606","103,59","829,9605",10,1900-01-01,0.3429999999999999,-1.385,-2.487,-0.02044333333333337,1.7254464437396637,-0.0009235683811510409,-0.00019999999999997797,2023Q2
673398,1492218,2023-04-11,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8342,1.62,1.7303,"0,04","1,69","1,77","1102,741248","103,6","832,0669",5,1900-01-01,0.2141999999999999,-1.5161,-2.6158,-0.02003166666666667,1.726632255036166,0.0033686847194400737,0.0022999999999999687,2023Q2
674163,1493748,2023-04-12,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8265,1.5418,1.7303,"0,05","1,68","1,78","1103,368929","103,59","830,9097",0,1900-01-01,0.2846999999999999,-1.4456,-2.5453,-0.021295000000000064,1.725460732999335,9.688302996768705e-05,0.0,2023Q2
674928,1495277,2023-04-13,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.8256,1.5368,1.7268,"0,05","1,68","1,78","1104,16766","103,6","830,7477",0,1900-01-01,0.2887999999999999,-1.438,-2.5412,-0.02564999999999995,1.722342322073615,-0.0026604741789051367,-0.0035000000000000586,2023Q2
675692,1496805,2023-04-14,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9289,1.5482,1.7349,"0,07","1,66","1,81","1104,451661","103,56","828,3636",0,1900-01-01,0.3807,-1.3542,-2.4493,-0.0186466666666667,1.7312464667034508,0.009561645871919211,0.008100000000000218,2023Q2
676456,1498332,2023-04-17,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9501,1.582,1.7448,"0,05","1,7","1,79","1104,733934","103,53","827,2705",35,1900-01-01,0.3680999999999998,-1.3767,-2.4619,-0.010181666666666755,1.7418236113332861,0.008596119302885397,0.009899999999999798,2023Q2
677219,1499858,2023-04-18,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9779,1.651,1.7557,"0,04","1,72","1,8","1104,929483","103,48","825,0355",45,1900-01-01,0.3268999999999999,-1.4288,-2.5031,-0.0010733333333332595,1.7521693115186774,0.009825891971025902,0.010900000000000132,2023Q2
677982,1501384,2023-04-19,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9787,1.6742,1.7717,"0,02","1,75","1,79","1104,873907","103,41","821,1568",15,1900-01-01,0.3045,-1.4672,-2.5255,0.013000000000000345,1.7680887894818464,0.014658441609951112,0.016000000000000014,2023Q2
678745,1503673,2023-04-20,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.971,1.6751,1.7778,"0,02","1,76","1,79","1105,379325","103,4","821,9487",40,1900-01-01,0.2959,-1.4819,-2.5341,0.01708333333333356,1.7752690664892208,0.003678690942219731,0.006099999999999994,2023Q2
679508,1505199,2023-04-24,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.927,1.6611,1.7876,"0,02","1,77","1,8","1105,712666","103,36","821,8045",10,1900-01-01,0.2659,-1.5217,-2.5641,0.02489500000000011,1.7832064405591752,0.009877446152112723,0.009800000000000031,2023Q2
680274,1506733,2023-04-25,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9243,1.6611,1.7889,"0,01","1,77","1,8","1106,359221","103,36","821,9885",5,1900-01-01,0.2631999999999999,-1.5257,-2.5668,0.024488333333333223,1.7904258146291294,-1.9057318190407457e-05,0.0012999999999998568,2023Q2
681042,1508269,2023-04-26,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9243,1.6611,1.7895,"0,01","1,78","1,8","1106,984479","103,35","821,1402",0,1900-01-01,0.2631999999999999,-1.5263000000000002,-2.5668,0.02384833333333347,1.7909617442546393,0.001528672851649926,0.000600000000000156,2023Q2
681810,1509804,2023-04-27,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9431,1.6796,1.7892,"0,01","1,78","1,8","1107,636111","103,35","820,1671",0,1900-01-01,0.2635,-1.5256999999999998,-2.5665,0.022864999999999913,1.7917665627690378,0.00027800800132005143,-0.000300000000000189,2023Q2
682576,1512102,2023-04-28,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9277,1.6205,1.7892,"0,01","1,78","1,8","1108,193503","103,34","817,3105",0,1900-01-01,0.3071999999999999,-1.482,-2.5228,0.02275999999999989,1.7967608118364908,0.000861565784315399,0.0,2023Q2
683342,1513634,2023-05-02,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9427,1.6071,1.7914,"0,02","1,77","1,81","1108,777907","103,33","816,7651",0,1900-01-01,0.3356000000000001,-1.4558,-2.4944,0.025519999999999987,1.8025602165983958,0.0029291081900357785,0.002200000000000202,2023Q2
684108,1515166,2023-05-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9553,1.6139,1.7931,"0,02","1,77","1,82","1109,42765","103,33","817,2899",0,1900-01-01,0.3414000000000001,-1.4516999999999998,-2.4886,0.028231666666666655,1.8067067642174433,0.0019621704000538642,0.0016999999999998128,2023Q2
684874,1516698,2023-05-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.9507,1.5758,1.7878,"0,08","1,71","1,87","1110,336971","103,35","818,1202",0,1900-01-01,0.3749,-1.4129,-2.4551,0.0241866666666668,1.8022178356460148,-0.004816528598899916,-0.00529999999999986,2023Q2
