Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,AnoTrimestre
872361,1823101,2024-04-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8755,0.6123,0.693,"0,13","0,56","0,82","10168,066013","100,27",327,0,1900-01-01,0.2632,-0.4297999999999999,-0.6368,-0.0348,2024Q2
873275,1824015,2024-04-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.873,0.6028,0.6891,"0,13","0,55","0,82","10172,93527","100,27",326,0,1900-01-01,0.2702,-0.4189,-0.6298,-0.0038999999999999,2024Q2
874189,1824929,2024-04-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9203,0.6663,0.7938,"0,08","0,72","0,87","10163,650214","100,14",325,0,1900-01-01,0.254,-0.5398,-0.646,0.1046999999999999,2024Q2
875104,1825844,2024-04-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.971,0.7034,0.8517,"0,15","0,7","1,01","10160,539748","100,06",324,0,1900-01-01,0.2675999999999999,-0.5841000000000001,-0.6324000000000001,0.0579,2024Q2
876017,1826757,2024-04-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9865,0.6961,0.8931,"0,12","0,77","1,02","10159,611941","100,01",323,0,1900-01-01,0.2904,-0.6027,-0.6096,0.0413999999999999,2024Q2
876931,1827671,2024-04-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9745,0.7335,0.9008,"0,09","0,81","0,99","10163,05983",100,322,0,1900-01-01,0.241,-0.6598,-0.659,0.0077,2024Q2
877844,1828584,2024-04-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.972,0.7197,0.8927,"0,15","0,74","1,04","10168,544523","100,01",321,0,1900-01-01,0.2522999999999999,-0.6404000000000001,-0.6477,-0.0080999999999999,2024Q2
878757,1829497,2024-04-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0149,0.7358,0.9136,"0,09","0,82","1,01","10170,311229","99,98",320,0,1900-01-01,0.2790999999999999,-0.6345000000000001,-0.6209000000000001,0.0208999999999999,2024Q2
879668,1833141,2024-04-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0133,0.7377,0.9026,"0,09","0,81","0,99","10176,168248",100,319,0,1900-01-01,0.2756,-0.6269999999999999,-0.6244,-0.011,2024Q2
880579,1834052,2024-04-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0174,0.7377,0.8935,"0,12","0,78","1,01","10181,777596","100,01",318,0,1900-01-01,0.2797,-0.6137999999999999,-0.6203,-0.0090999999999999,2024Q2
881490,1834963,2024-04-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0698,0.7636,0.9451,"0,15","0,8","1,09","10179,680169","99,94",317,0,1900-01-01,0.3062000000000001,-0.6388999999999999,-0.5937999999999999,0.0516,2024Q2
882393,1835866,2024-04-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0734,0.7994,0.9603,"0,1","0,86","1,06","10182,23361","99,93",316,0,1900-01-01,0.2739999999999999,-0.6863000000000001,-0.6260000000000001,0.0151999999999999,2024Q2
883298,1836771,2024-04-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0864,0.7715,0.9417,"0,13","0,82","1,07","10189,056317","99,95",314,0,1900-01-01,0.3149,-0.6267999999999999,-0.5851,-0.0186,2024Q2
884196,1837669,2024-04-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0955,0.7775,0.9154,"0,14","0,78","1,05","10196,832154","99,98",313,0,1900-01-01,0.3179999999999999,-0.5974,-0.5820000000000001,-0.0262999999999999,2024Q2
885097,1838570,2024-04-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0878,0.7839,0.9556,"0,13","0,82","1,09","10196,257753","99,93",313,0,1900-01-01,0.3039,-0.6517,-0.5961,0.0402,2024Q2
885998,1839471,2024-04-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0844,0.8386,0.9619,"0,13","0,83","1,09","10199,949622","99,92",312,0,1900-01-01,0.2458,-0.7161,-0.6542,0.0062999999999999,2024Q2
886896,1840369,2024-04-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0755,0.8394,0.9418,"0,13","0,81","1,07","10206,939208","99,95",311,0,1900-01-01,0.2360999999999998,-0.7057000000000001,-0.6639000000000002,-0.0201,2024Q2
887795,1841268,2024-04-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1025,0.7516,0.9337,"0,13","0,81","1,06","10212,427309","99,96",310,0,1900-01-01,0.3509,-0.5828,-0.5491,-0.0080999999999999,2024Q2
888718,1842191,2024-04-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0862,0.8169,0.9643,"0,13","0,83","1,1","10213,11493","99,92",309,0,1900-01-01,0.2693000000000001,-0.695,-0.6306999999999999,0.0306,2024Q2
889679,1843152,2024-04-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0668,0.8092,0.9605,"0,13","0,83","1,09","10218,071006","99,93",308,0,1900-01-01,0.2575999999999999,-0.7029000000000001,-0.6424000000000001,-0.0038,2024Q2
890561,1844034,2024-04-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1066,0.8553,0.9915,"0,12","0,87","1,11","10218,742406","99,89",307,0,1900-01-01,0.2513000000000001,-0.7402,-0.6486999999999999,0.031,2024Q2
891703,1845176,2024-04-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1081,0.8411,1.0017,"0,03","0,97","1,03","10222,004525","99,88",306,0,1900-01-01,0.2670000000000001,-0.7346999999999999,-0.6329999999999999,0.0101999999999999,2024Q2
892435,1845908,2024-05-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1118,0.8442,1.0053,"0,04","0,96","1,05","10226,067319","99,87",305,0,1900-01-01,0.2675999999999999,-0.7377000000000001,-0.6324000000000001,0.0036,2024Q2
893314,1846787,2024-05-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0918,0.7531,0.8927,"0,13","0,77","1,02","10244,343541","100,01",304,0,1900-01-01,0.3387000000000001,-0.5539999999999999,-0.5612999999999999,-0.1126,2024Q2
894274,1847747,2024-05-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0812,0.8297,0.9445,"0,08","0,87","1,02","10242,502069","99,95",303,0,1900-01-01,0.2514999999999999,-0.6930000000000001,-0.6485000000000001,0.0517999999999999,2024Q2
895147,1848620,2024-05-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0798,0.8346,0.9467,"0,07","0,88","1,02","10246,731023","99,94",302,0,1900-01-01,0.2452,-0.7014999999999999,-0.6547999999999999,0.0021999999999999,2024Q2
896100,1849573,2024-05-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0713,0.835,0.9233,"0,07","0,85",1,"10254,067015","99,97",301,0,1900-01-01,0.2362999999999999,-0.687,-0.6637000000000001,-0.0233999999999999,2024Q2
902423,1855896,2024-05-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.094,0.8325,0.9385,"0,11","0,83","1,05","10256,723464","99,95",300,0,1900-01-01,0.2615,-0.6769999999999999,-0.6385,0.0151999999999999,2024Q2
896979,1850452,2024-05-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1324,0.8578,1.0062,"0,13","0,88","1,13","10252,984774","99,88",299,0,1900-01-01,0.2746,-0.7315999999999999,-0.6254,0.0676999999999999,2024Q2
897890,1851363,2024-05-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1208,0.8762,0.9989,"0,09","0,91","1,09","10258,294767","99,88",298,0,1900-01-01,0.2446,-0.7543,-0.6554,-0.0072999999999999,2024Q2
898801,1852274,2024-05-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.065,0.8969,0.9936,"0,07","0,92","1,06","10263,361977","99,89",297,0,1900-01-01,0.1680999999999999,-0.8255000000000001,-0.7319000000000001,-0.0052999999999999,2024Q2
899708,1853181,2024-05-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0714,0.8804,0.9169,"0,14","0,78","1,05","10276,948392","99,98",296,0,1900-01-01,0.1909999999999999,-0.7259000000000001,-0.7090000000000001,-0.0766999999999999,2024Q2
900852,1854325,2024-05-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0297,0.8409,0.9606,"0,11","0,85","1,07","10276,155186","99,93",295,0,1900-01-01,0.1888,-0.7717999999999999,-0.7111999999999999,0.0436999999999999,2024Q2
901520,1854993,2024-05-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0309,0.8496,0.9415,"0,12","0,82","1,06","10282,84751","99,95",293,0,1900-01-01,0.1812999999999999,-0.7602000000000001,-0.7187000000000001,-0.0191,2024Q2
903339,1856812,2024-05-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0217,0.8972,0.9547,"0,06","0,89","1,02","10285,70753","99,94",292,0,1900-01-01,0.1245,-0.8301999999999999,-0.7755,0.0131999999999999,2024Q2
904244,1857717,2024-05-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0058,0.85,0.9363,"0,11","0,82","1,05","10292,303799","99,96",291,0,1900-01-01,0.1558,-0.7805,-0.7442,-0.0183999999999999,2024Q2
905147,1858620,2024-05-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1528,0.9,1.03,"0,14","0,89","1,17","10285,724483","99,85",290,0,1900-01-01,0.2528,-0.7772,-0.6472,0.0937,2024Q2
906049,1859522,2024-05-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1701,0.8531,1.078,"0,14","0,94","1,22","10284,571434","99,8",289,0,1900-01-01,0.3169999999999999,-0.7610000000000001,-0.5830000000000001,0.048,2024Q2
906951,1860424,2024-05-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2487,0.9292,1.1218,"0,14","0,98","1,26","10283,954063","99,75",288,0,1900-01-01,0.3194999999999999,-0.8023,-0.5805000000000001,0.0437999999999998,2024Q2
907853,1861326,2024-05-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2519,0.9374,1.0715,"0,14","0,93","1,21","10294,279413","99,81",287,0,1900-01-01,0.3145,-0.7569999999999999,-0.5855,-0.0503,2024Q2
908793,1862266,2024-05-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2165,0.9292,1.049,"0,14","0,91","1,19","10301,361652","99,83",286,0,1900-01-01,0.2872999999999999,-0.7617,-0.6127000000000001,-0.0224999999999999,2024Q2
909733,1863206,2024-05-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1875,0.877,0.9864,"0,15","0,83","1,14","10313,074048","99,9",285,0,1900-01-01,0.3105,-0.6759000000000001,-0.5895,-0.0625999999999998,2024Q2
910671,1864144,2024-05-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.1286,0.6766,0.937,"0,17","0,77","1,11","10323,22241","99,96",284,0,1900-01-01,0.452,-0.485,-0.4479999999999999,-0.0494,2024Q2
911651,1865124,2024-06-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0891,0.8791,1.0008,"0,12","0,88","1,12","10320,323137","99,89",283,0,1900-01-01,0.2099999999999999,-0.7908,-0.6900000000000001,0.0637999999999998,2024Q2
912554,1866027,2024-06-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0772,0.8678,0.9825,"0,12","0,86","1,1","10326,881189","99,91",282,0,1900-01-01,0.2093999999999999,-0.7731000000000001,-0.6906000000000001,-0.0182999999999998,2024Q2
913483,1866956,2024-06-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0905,0.8361,0.9509,"0,11","0,84","1,06","10334,949615","99,94",281,0,1900-01-01,0.2544,-0.6964999999999999,-0.6456,-0.0316,2024Q2
914414,1867887,2024-06-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.064,0.8049,0.9518,"0,11","0,84","1,06","10339,2928","99,94",280,0,1900-01-01,0.2591000000000001,-0.6926999999999999,-0.6408999999999999,0.0009,2024Q2
915345,1868818,2024-06-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0608,0.7902,0.9028,"0,12","0,78","1,02","10349,310557",100,279,0,1900-01-01,0.2705999999999999,-0.6322000000000001,-0.6294000000000001,-0.0489999999999999,2024Q2
916278,1869751,2024-06-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0136,0.8384,0.9197,"0,1","0,82","1,02","10351,831304","99,98",278,0,1900-01-01,0.1752,-0.7444999999999999,-0.7248,0.0168999999999999,2024Q2
