Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,AnoTrimestre
716355,1584417,2023-07-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7257,1.3677,1.5858,"0,11","1,48","1,69","10382,201894","98,76","463,66",0,1900-01-01,0.3580000000000001,-1.2278,-0.5419999999999999,-0.0270999999999999,2023Q3
717139,1585985,2023-07-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6921,1.4228,1.5683,"0,11","1,46","1,68","10391,462501","98,79","462,49",0,1900-01-01,0.2692999999999999,-1.2990000000000002,-0.6307000000000001,-0.0175,2023Q3
717923,1587550,2023-07-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7384,1.4434,1.5641,"0,14","1,43","1,7","10398,225218","98,81","461,29",0,1900-01-01,0.2949999999999999,-1.2691,-0.6050000000000001,-0.0041999999999999,2023Q3
718704,1589112,2023-07-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7119,1.3991,1.5656,"0,14","1,43","1,7","10403,923609","98,81","460,08",0,1900-01-01,0.3127999999999999,-1.2528,-0.5872,0.0015,2023Q3
719485,1590673,2023-07-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7125,1.3973,1.56,"0,14","1,42","1,7","10410,793742","98,82","459,46",0,1900-01-01,0.3151999999999999,-1.2448,-0.5848000000000001,-0.0056,2023Q3
720265,1592233,2023-07-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6797,1.3568,1.5363,"0,11","1,43","1,64","10421,199849","98,86","458,28",0,1900-01-01,0.3228999999999999,-1.2134,-0.5771000000000001,-0.0237,2023Q3
721045,1593793,2023-07-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6471,1.3464,1.5165,"0,08","1,44","1,6","10430,833019","98,9","457,24",0,1900-01-01,0.3006999999999999,-1.2158,-0.5993,-0.0198,2023Q3
721825,1595352,2023-07-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6693,1.3555,1.5031,"0,08","1,42","1,59","10439,258493","98,93","456,22",0,1900-01-01,0.3138000000000001,-1.1893,-0.5861999999999999,-0.0133999999999998,2023Q3
722604,1596909,2023-07-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6876,1.3202,1.4983,"0,07","1,43","1,56","10446,122174","98,94","455,01",0,1900-01-01,0.3673999999999999,-1.1309,-0.5326000000000001,-0.0048000000000001,2023Q3
723382,1598465,2023-07-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6895,1.341,1.5112,"0,06","1,45","1,57","10449,697419","98,92","453,81",0,1900-01-01,0.3485,-1.1627,-0.5515,0.0129000000000001,2023Q3
