Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_no_autocorr,taxaIndicativa_diff,AnoTrimestre
930511,1884408,2024-07-01,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6782,0.4502,0.543,"0,04","0,51","0,58","1080,397253","106,31",690,0,1900-01-01,0.228,-0.315,-2.602,0.004266666666666752,0.5400236113332862,0.0018258673161288819,0.0009000000000000119,2024Q3
931458,1885355,2024-07-02,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6654,0.4689,0.5378,"0,04","0,5","0,58","1081,042938","106,32",689,0,1900-01-01,0.1965,-0.3412999999999999,-2.6335,-0.0006050000000000777,0.5342693115186774,-0.0060259397391072556,-0.0052000000000000934,2024Q3
932404,1886301,2024-07-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6459,0.4634,0.5366,"0,04","0,5","0,57","1081,658435","106,33",690,0,1900-01-01,0.1825,-0.3540999999999999,-2.6475,-0.0014616666666666944,0.5329887894818464,-0.0002492897987087517,-0.0011999999999999789,2024Q3
933349,1887246,2024-07-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6518,0.4418,0.5354,"0,02","0,52","0,56","1082,319373","106,34",690,0,1900-01-01,0.21,-0.3253999999999999,-2.62,-0.0023799999999999377,0.5328690664892208,-0.0015617767553331996,-0.0011999999999999789,2024Q3
934374,1888271,2024-07-05,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6637,0.4373,0.5419,"0,05","0,49","0,59","1082,614462","106,32",690,0,1900-01-01,0.2263999999999999,-0.3155000000000001,-2.6036,0.004165000000000085,0.5375064405591752,0.006434848609497834,0.006500000000000061,2024Q3
935241,1889138,2024-07-08,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6714,0.4296,0.5379,"0,04","0,5","0,57","1083,178927","106,32",689,0,1900-01-01,0.2418,-0.2961,-2.5882,0.00012666666666671933,0.5394258146291294,-0.0058732787478852355,-0.0040000000000000036,2024Q3
936187,1890084,2024-07-09,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6677,0.4402,0.5452,"0,01","0,54","0,55","1083,473628","106,29",688,0,1900-01-01,0.2274999999999999,-0.3177,-2.6025,0.0073266666666668145,0.5466617442546392,0.008216165997589009,0.007299999999999973,2024Q3
937173,1891070,2024-07-10,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6638,0.4409,0.5454,"0,01","0,54","0,55","1084,031446","106,3",689,0,1900-01-01,0.2228999999999999,-0.3225,-2.6071,0.007398333333333396,0.547966562769038,-0.002074068961414377,0.00019999999999997797,2024Q3
938078,1891975,2024-07-11,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6466,0.4424,0.5314,"0,02","0,51","0,56","1084,906874","106,33",688,0,1900-01-01,0.2041999999999999,-0.3272,-2.6258,-0.006753333333333389,0.5389608118364908,-0.01393814791917436,-0.014000000000000012,2024Q3
939023,1892920,2024-07-12,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,2028-11-15,2.83,di_spread,0.6521,0.4404,0.5346,"0,05","0,48","0,59","1085,226224","106,31",686,0,1900-01-01,0.2117,-0.3228999999999999,-2.6183,-0.0037233333333333007,0.5457602165983956,0.005939783526967446,0.0031999999999999806,2024Q3
