Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_no_autocorr,taxaIndicativa_diff,AnoTrimestre
716450,1584512,2023-07-03,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7687,1.4224,1.5365,"0,05","1,48","1,59","1065,950033","104,38","856,46",0,1900-01-01,0.3462999999999998,-1.1902,-2.4837,-0.005064999999999875,1.5270502747288286,-0.00315109195146146,-0.0037000000000000366,2023Q3
717234,1586080,2023-07-04,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.73,1.399,1.5357,"0,05","1,48","1,59","1066,530435","104,37","854,46",0,1900-01-01,0.3309999999999999,-1.2047,-2.499,-0.0033916666666666817,1.5278883767022147,0.0005689691801353813,-0.0007999999999999119,2023Q3
718018,1587645,2023-07-05,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7783,1.4901,1.5362,"0,06","1,48","1,59","1067,039999","104,35","851,99",0,1900-01-01,0.2882,-1.248,-2.5418000000000003,-0.00041666666666650976,1.5296276324431615,0.0010237214392674332,0.0004999999999999449,2023Q3
718799,1589207,2023-07-06,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7614,1.4066,1.5378,"0,05","1,48","1,59","1067,535914","104,34","849,98",0,1900-01-01,0.3548,-1.183,-2.4752,0.0038166666666668014,1.5352464437396638,0.0020210365836537125,0.0016000000000000458,2023Q3
719579,1590767,2023-07-07,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7715,1.4246,1.5384,"0,07","1,47","1,61","1068,235035","104,34","851,09",0,1900-01-01,0.3469,-1.1915,-2.4831000000000003,0.007209999999999939,1.534732255036166,0.0007963786847646759,0.0005999999999999339,2023Q3
720359,1592327,2023-07-10,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7477,1.4046,1.538,"0,08","1,46","1,62","1068,815143","104,33","849,32",0,1900-01-01,0.3430999999999999,-1.1949,-2.4869000000000003,0.009676666666666778,1.533160732999335,7.499831095914011e-05,-0.00039999999999995595,2023Q3
721139,1593887,2023-07-11,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7442,1.4246,1.538,"0,07","1,46","1,61","1069,427469","104,33","848,41",0,1900-01-01,0.3195999999999999,-1.2184,-2.5104,0.012608333333333333,1.533542322073615,0.0006383103887224184,0.0,2023Q3
721919,1595446,2023-07-12,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7275,1.4273,1.5388,"0,08","1,46","1,61","1070,011064","104,32","847,49",0,1900-01-01,0.3002,-1.2386,-2.5298,0.0166466666666667,1.5351464667034507,0.0013104482218151414,0.0007999999999999119,2023Q3
722697,1597002,2023-07-13,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.6858,1.4047,1.5379,"0,08","1,46","1,61","1070,58634","104,31","845,29",35,1900-01-01,0.2810999999999999,-1.2568,-2.5489,0.019465000000000288,1.5349236113332863,-0.0005412577673729047,-0.0008999999999999009,2023Q3
723475,1598558,2023-07-14,CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA CTEEP,2028-11-15,2.83,di_spread,1.7185,1.4247,1.5354,"0,09","1,45","1,62","1071,218685","104,31","843,1",45,1900-01-01,0.2937999999999998,-1.2416000000000005,-2.5362,0.021116666666666895,1.5318693115186774,-0.0017219172849320952,-0.0024999999999999467,2023Q3
