Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
750947,1657163,2023-09-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3682,1.0523,1.2275,"0,11","1,11","1,34","10010,550408","99,42","449,4",0,1900-01-01,0.3159,-0.9116,-0.5841,-0.0027999999999999,-0.0027999999999999137,2023-09
751753,1658775,2023-09-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3481,1.0457,1.2216,"0,07","1,15","1,29","10016,991274","99,44","448,34",0,1900-01-01,0.3024,-0.9192,-0.5976,-0.0059,-0.005900000000000016,2023-09
752559,1660387,2023-09-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3377,1.045,1.2092,"0,11","1,09","1,32","10024,584802","99,46","447,2",0,1900-01-01,0.2926999999999999,-0.9165,-0.6073000000000001,-0.0123999999999999,-0.012399999999999967,2023-09
753365,1662805,2023-09-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.361,1.0332,1.2088,"0,07","1,14","1,28","10030,038535","99,46","446,29",0,1900-01-01,0.3278000000000001,-0.881,-0.5721999999999999,-0.0003999999999999,-0.00039999999999995595,2023-09
754171,1664417,2023-09-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3365,1.0517,1.2114,"0,11","1,1","1,32","10034,962699","99,46","445,42",0,1900-01-01,0.2847999999999999,-0.9266,-0.6152000000000001,0.0025999999999999,0.0025999999999999357,2023-09
754977,1666028,2023-09-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3421,1.0496,1.2106,"0,11","1,1","1,32","10040,488389","99,46","444,55",0,1900-01-01,0.2925,-0.9181,-0.6075,-0.0008000000000001,-0.0008000000000001339,2023-09
755782,1667638,2023-09-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2962,1.0334,1.1881,"0,11","1,07","1,3","10049,801436","99,5","443,76",0,1900-01-01,0.2627999999999999,-0.9253,-0.6372000000000001,-0.0224999999999999,-0.022499999999999964,2023-09
756586,1669246,2023-09-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3725,1.0116,1.217,"0,06","1,16","1,28","10050,14675","99,45","442,82",0,1900-01-01,0.3609,-0.8561000000000001,-0.5391,0.0289000000000001,0.028900000000000148,2023-09
757390,1670854,2023-09-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3605,1.0307,1.2072,"0,09","1,12","1,3","10057,27494","99,47","441,75",0,1900-01-01,0.3298000000000001,-0.8774,-0.5701999999999999,-0.0098,-0.009800000000000031,2023-09
758193,1672460,2023-09-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3647,1.0167,1.2084,"0,09","1,12","1,3","10062,491108","99,47","440,63",0,1900-01-01,0.3480000000000001,-0.8603999999999998,-0.5519999999999999,0.0011999999999998,0.0011999999999998678,2023-09
758996,1674066,2023-09-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3664,1.0151,1.2109,"0,09","1,12","1,3","10067,476815","99,46","439,58",0,1900-01-01,0.3513000000000001,-0.8595999999999999,-0.5486999999999999,0.0025000000000001,0.0025000000000001688,2023-09
759799,1675672,2023-09-19,ALGA28,ALGAR TELECOM S/A,2026-02-18,0.9,di_spread,1.3314,1.0055,1.1755,"0,1","1,08","1,28","10079,050865","99,53","438,42",0,1900-01-01,0.3258999999999998,-0.8496000000000001,-0.5741000000000002,-0.0354000000000001,-0.0354000000000001,2023-09
760602,1677278,2023-09-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3187,0.9979,1.1557,"0,11","1,05","1,26","10087,886223","99,56","437,46",0,1900-01-01,0.3208,-0.8349,-0.5792,-0.0198,-0.01980000000000004,2023-09
761405,1678884,2023-09-21,ALGA28,ALGAR TELECOM S/A,2026-02-18,0.9,di_spread,1.2928,0.9743,1.1409,"0,11","1,04","1,25","10095,86964","99,59","436,28",0,1900-01-01,0.3184999999999999,-0.8224000000000001,-0.5815000000000001,-0.0147999999999999,-0.014799999999999924,2023-09
762208,1680490,2023-09-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3096,0.9723,1.1434,"0,11","1,03","1,26","10100,663717","99,58","435,3",0,1900-01-01,0.3373,-0.8060999999999999,-0.5627,0.0024999999999999,0.0024999999999999467,2023-09
763012,1682117,2023-09-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3182,0.9886,1.1453,"0,09","1,06","1,23","10105,582904","99,58","434,15",0,1900-01-01,0.3296,-0.8157,-0.5704,0.0019,0.0019000000000000128,2023-09
763835,1683763,2023-09-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3158,0.9943,1.1501,"0,1","1,05","1,25","10110,024163","99,58","432,83",0,1900-01-01,0.3215000000000001,-0.8285999999999998,-0.5784999999999999,0.0047999999999999,0.0047999999999999154,2023-09
764658,1685407,2023-09-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3035,0.9931,1.1429,"0,12","1,03","1,26","10116,546849","99,59","431,32",0,1900-01-01,0.3104000000000001,-0.8324999999999999,-0.5895999999999999,-0.0071999999999998,-0.007199999999999873,2023-09
765479,1687048,2023-09-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3035,0.9941,1.1392,"0,08","1,06","1,22","10122,433117","99,6","430,17",0,1900-01-01,0.3094000000000001,-0.8297999999999999,-0.5905999999999999,-0.0037,-0.0037000000000000366,2023-09
766299,1688688,2023-09-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.301,1.0261,1.1463,"0,06","1,08","1,21","10126,428346","99,59","429,52",0,1900-01-01,0.2748999999999999,-0.8714000000000002,-0.6251000000000001,0.0071000000000001,0.007100000000000106,2023-09
