Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
911651,1865124,2024-06-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0891,0.8791,1.0008,"0,12","0,88","1,12","10320,323137","99,89",283,0,1900-01-01,0.2099999999999999,-0.7908,-0.6900000000000001,0.0637999999999998,0.06379999999999986,2024-06
912554,1866027,2024-06-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0772,0.8678,0.9825,"0,12","0,86","1,1","10326,881189","99,91",282,0,1900-01-01,0.2093999999999999,-0.7731000000000001,-0.6906000000000001,-0.0182999999999998,-0.018299999999999872,2024-06
913483,1866956,2024-06-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0905,0.8361,0.9509,"0,11","0,84","1,06","10334,949615","99,94",281,0,1900-01-01,0.2544,-0.6964999999999999,-0.6456,-0.0316,-0.03160000000000007,2024-06
914414,1867887,2024-06-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.064,0.8049,0.9518,"0,11","0,84","1,06","10339,2928","99,94",280,0,1900-01-01,0.2591000000000001,-0.6926999999999999,-0.6408999999999999,0.0009,0.0009000000000000119,2024-06
915345,1868818,2024-06-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0608,0.7902,0.9028,"0,12","0,78","1,02","10349,310557",100,279,0,1900-01-01,0.2705999999999999,-0.6322000000000001,-0.6294000000000001,-0.0489999999999999,-0.04899999999999993,2024-06
916278,1869751,2024-06-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0136,0.8384,0.9197,"0,1","0,82","1,02","10351,831304","99,98",278,0,1900-01-01,0.1752,-0.7444999999999999,-0.7248,0.0168999999999999,0.016899999999999915,2024-06
917204,1870677,2024-06-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0499,0.8716,0.9301,"0,08","0,85","1,01","10355,09868","99,97",277,0,1900-01-01,0.1783,-0.7518,-0.7217,0.0104,0.010400000000000076,2024-06
918139,1871612,2024-06-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0934,0.8726,0.9817,"0,09","0,89","1,08","10353,749935","99,91",276,0,1900-01-01,0.2207999999999998,-0.7609000000000001,-0.6792000000000001,0.0515999999999999,0.05159999999999998,2024-06
919054,1872951,2024-06-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0601,0.8681,0.965,"0,09","0,88","1,05","10360,085079","99,93",275,0,1900-01-01,0.192,-0.7729999999999999,-0.708,-0.0167,-0.016700000000000048,2024-06
919979,1873876,2024-06-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0842,0.8647,0.9615,"0,09","0,88","1,05","10364,938409","99,93",274,0,1900-01-01,0.2195,-0.742,-0.6805,-0.0034999999999999,-0.0034999999999999476,2024-06
