Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
952133,1907007,2024-08-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8201,0.5442,0.6886,"0,04","0,65","0,72","10544,953257","100,2",240,0,1900-01-01,0.2759,-0.4126999999999999,-0.6241,0.0028,0.0028000000000000247,2024-08
953108,1907982,2024-08-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.831,0.5593,0.6944,"0,04","0,66","0,73","10548,820722","100,19",239,0,1900-01-01,0.2716999999999999,-0.4227000000000001,-0.6283000000000001,0.0058,0.005800000000000027,2024-08
954082,1908956,2024-08-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8325,0.5572,0.6966,"0,04","0,66","0,73","10553,036856","100,19",238,0,1900-01-01,0.2753,-0.4213,-0.6247,0.0021999999999999,0.0021999999999999797,2024-08
955056,1909930,2024-08-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9004,0.5589,0.71,"0,03","0,68","0,74","10556,131972","100,18",237,0,1900-01-01,0.3415,-0.3684999999999999,-0.5585,0.0133999999999999,0.013399999999999967,2024-08
956239,1911113,2024-08-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.835,0.5545,0.6947,"0,04","0,65","0,74","10562,079868","100,19",236,0,1900-01-01,0.2804999999999999,-0.4142,-0.6195,-0.0152999999999999,-0.01529999999999998,2024-08
956977,1911851,2024-08-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8532,0.5401,0.6987,"0,04","0,66","0,74","10566,124344","100,19",235,0,1900-01-01,0.3130999999999999,-0.3856,-0.5869000000000001,0.004,0.0040000000000000036,2024-08
957978,1912852,2024-08-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8232,0.554,0.6903,"0,04","0,65","0,73","10571,383241","100,19",234,0,1900-01-01,0.2692,-0.4211,-0.6308,-0.0083999999999999,-0.008399999999999963,2024-08
958952,1913826,2024-08-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8231,0.5525,0.6841,"0,04","0,64","0,72","10576,424886","100,2",233,0,1900-01-01,0.2706,-0.4135,-0.6294,-0.0061999999999999,-0.006199999999999983,2024-08
959926,1914800,2024-08-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8103,0.5603,0.6816,"0,03","0,66","0,71","10581,110275","100,2",232,0,1900-01-01,0.25,-0.4316,-0.65,-0.0025,-0.0025000000000000577,2024-08
960948,1915822,2024-08-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8236,0.5519,0.6794,"0,05","0,63","0,73","10585,765011","100,2",231,0,1900-01-01,0.2717,-0.4076999999999999,-0.6283,-0.0021999999999999,-0.0021999999999999797,2024-08
961874,1916748,2024-08-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8285,0.5515,0.6849,"0,02","0,67","0,7","10020,60705","100,21",243,0,1900-01-01,0.277,-0.4078999999999999,-0.623,0.0054999999999999,0.005499999999999949,2024-08
962852,1917726,2024-08-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8288,0.538,0.6784,"0,05","0,63","0,73","10025,42939","100,21",242,0,1900-01-01,0.2907999999999999,-0.3876,-0.6092000000000001,-0.0064999999999999,-0.00649999999999995,2024-08
963818,1918692,2024-08-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8194,0.5479,0.6851,"0,03","0,65","0,72","10029,000039","100,2",241,0,1900-01-01,0.2714999999999999,-0.4136000000000001,-0.6285000000000001,0.0067,0.006700000000000039,2024-08
964790,1919664,2024-08-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8028,0.5445,0.6634,"0,05","0,61","0,71","10035,272687","100,22",240,0,1900-01-01,0.2583,-0.4051,-0.6417,-0.0217,-0.021700000000000053,2024-08
965758,1920632,2024-08-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8084,0.542,0.6686,"0,05","0,62","0,72","10038,991217","100,22",239,0,1900-01-01,0.2663999999999999,-0.4022,-0.6336,0.0051999999999999,0.005199999999999982,2024-08
966727,1921601,2024-08-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.787,0.5403,0.6696,"0,05","0,62","0,72","10043,095839","100,22",238,0,1900-01-01,0.2467,-0.4228999999999999,-0.6533,0.001,0.0010000000000000009,2024-08
