Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
973628,1928502,2024-09-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7644,0.5207,0.6034,"0,05","0,55","0,66","10078,666768","100,27",231,0,1900-01-01,0.2436999999999999,-0.3597000000000001,-0.6563000000000001,-0.0447999999999999,-0.04479999999999995,2024-09
974630,1929504,2024-09-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7211,0.525,0.5847,"0,06","0,52","0,65","10084,576756","100,29",230,0,1900-01-01,0.1960999999999999,-0.3886,-0.7039000000000001,-0.0187,-0.01870000000000005,2024-09
975628,1930502,2024-09-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7294,0.5124,0.5676,"0,08","0,49","0,65","10090,339869","100,3",229,0,1900-01-01,0.217,-0.3505999999999999,-0.6829999999999999,-0.0171,-0.017100000000000004,2024-09
976627,1931501,2024-09-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7332,0.4828,0.5725,"0,07","0,5","0,64","10094,090231","100,29",228,0,1900-01-01,0.2503999999999999,-0.3221,-0.6496000000000001,0.0049,0.0049000000000000155,2024-09
977627,1932501,2024-09-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7173,0.5045,0.6029,"0,08","0,53","0,68","10095,529563","100,27",227,0,1900-01-01,0.2128000000000001,-0.3900999999999999,-0.6871999999999999,0.0303999999999999,0.030399999999999983,2024-09
978628,1933502,2024-09-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7538,0.5167,0.6061,"0,09","0,52","0,69","10099,446046","100,26",226,0,1900-01-01,0.2370999999999999,-0.369,-0.6629,0.0031999999999999,0.0031999999999999806,2024-09
979621,1934495,2024-09-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7217,0.4687,0.6029,"0,06","0,54","0,66","10103,943595","100,26",225,0,1900-01-01,0.253,-0.3499,-0.647,-0.0031999999999999,-0.0031999999999999806,2024-09
980618,1935492,2024-09-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7185,0.4667,0.5915,"0,07","0,52","0,66","10109,169697","100,27",224,0,1900-01-01,0.2518,-0.3397,-0.6482,-0.0113999999999999,-0.011399999999999966,2024-09
981614,1936488,2024-09-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7123,0.485,0.593,"0,07","0,53","0,66","10113,237838","100,27",223,0,1900-01-01,0.2273,-0.3656999999999999,-0.6727,0.0014999999999999,0.0014999999999999458,2024-09
982610,1937484,2024-09-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7075,0.4497,0.5847,"0,08","0,5","0,67","10118,185092","100,28",222,0,1900-01-01,0.2578,-0.3268999999999999,-0.6422,-0.0082999999999999,-0.008299999999999974,2024-09
983605,1938479,2024-09-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7174,0.4409,0.5868,"0,08","0,5","0,67","10122,206327","100,27",221,0,1900-01-01,0.2765,-0.3102999999999999,-0.6234999999999999,0.0020999999999999,0.0020999999999999908,2024-09
984597,1939471,2024-09-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.7269,0.4566,0.5953,"0,07","0,52","0,67","10125,670336","100,26",220,0,1900-01-01,0.2703,-0.325,-0.6297,0.0085,0.008500000000000063,2024-09
