Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
801229,1749266,2023-12-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0769,0.85,0.9758,"0,03","0,94","1,01","10372,50236","99,88",388,0,1900-01-01,0.2269,-0.7489,-0.6731,0.0086,0.008600000000000052,2023-12
802091,1750128,2023-12-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0712,0.85,0.9767,"0,05","0,93","1,03","10377,485302","99,88",387,0,1900-01-01,0.2211999999999999,-0.7555000000000001,-0.6788000000000001,0.0009,0.0009000000000000119,2023-12
803262,1751299,2023-12-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0645,0.85,0.9605,"0,04","0,92",1,"10385,164825","99,91",386,0,1900-01-01,0.2145,-0.746,-0.6855,-0.0161999999999999,-0.016199999999999992,2023-12
803811,1751848,2023-12-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0737,0.85,0.9674,"0,05","0,92","1,02","10389,197464","99,9",385,0,1900-01-01,0.2237000000000001,-0.7436999999999999,-0.6762999999999999,0.0069,0.006900000000000017,2023-12
804665,1752702,2023-12-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0872,0.85,0.976,"0,02","0,95",1,"10392,971772","99,89",384,0,1900-01-01,0.2371999999999999,-0.7388,-0.6628000000000001,0.0085999999999999,0.008599999999999941,2023-12
805529,1753566,2023-12-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0943,0.85,0.9836,"0,05","0,94","1,03","10396,91621","99,87",383,0,1900-01-01,0.2443,-0.7393,-0.6557,0.0076,0.007600000000000051,2023-12
806386,1754423,2023-12-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0859,0.85,0.9709,"0,04","0,93","1,01","10404,035076","99,89",382,0,1900-01-01,0.2359000000000001,-0.7349999999999999,-0.6640999999999999,-0.0127,-0.012700000000000045,2023-12
807242,1755279,2023-12-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0538,0.85,0.9498,"0,03","0,92","0,98","10412,459049","99,93",381,0,1900-01-01,0.2038000000000001,-0.7459999999999999,-0.6961999999999999,-0.0211,-0.021100000000000008,2023-12
808099,1756136,2023-12-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.067,0.85,0.9533,"0,03","0,92","0,99","10417,039427","99,92",381,0,1900-01-01,0.2169999999999999,-0.7363000000000001,-0.683,0.0035,0.0035000000000000586,2023-12
808957,1756994,2023-12-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0364,0.85,0.941,"0,03","0,91","0,97","10424,08464","99,94",380,0,1900-01-01,0.1864,-0.7545999999999999,-0.7136,-0.0123,-0.012300000000000089,2023-12
809813,1757850,2023-12-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0767,0.8259,0.9502,"0,03","0,92","0,98","10427,602408","99,93",379,0,1900-01-01,0.2508,-0.6994,-0.6492,0.0092,0.009200000000000097,2023-12
810666,1758703,2023-12-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0388,0.8487,0.9317,"0,05","0,89","0,98","10435,420863","99,95",378,0,1900-01-01,0.1900999999999999,-0.7416,-0.7099000000000001,-0.0185,-0.018500000000000072,2023-12
811520,1759557,2023-12-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0305,0.8179,0.9136,"0,05","0,86","0,96","10443,168864","99,98",377,0,1900-01-01,0.2126,-0.701,-0.6874,-0.0181,-0.018100000000000005,2023-12
812372,1760409,2023-12-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0309,0.8137,0.916,"0,04","0,88","0,95","10447,74304","99,98",376,0,1900-01-01,0.2171999999999999,-0.6988000000000001,-0.6828000000000001,0.0024,0.0024000000000000687,2023-12
813227,1761264,2023-12-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0318,0.8012,0.9124,"0,03","0,88","0,95","10453,245711","99,98",375,0,1900-01-01,0.2306,-0.6818,-0.6694,-0.0036,-0.0036000000000000476,2023-12
814108,1762145,2023-12-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0251,0.8,0.909,"0,05","0,86","0,96","10458,717434","99,99",374,0,1900-01-01,0.2250999999999998,-0.6839000000000002,-0.6749000000000002,-0.0033999999999999,-0.0033999999999999586,2023-12
814989,1763026,2023-12-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0112,0.8128,0.9,"0,06","0,84","0,96","10465,048264",100,372,0,1900-01-01,0.1984000000000001,-0.7015999999999999,-0.7015999999999999,-0.009,-0.009000000000000008,2023-12
815869,1763906,2023-12-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0201,0.804,0.9066,"0,05","0,85","0,96","10468,990777","99,99",371,0,1900-01-01,0.2160999999999999,-0.6905,-0.6839000000000001,0.0065999999999999,0.006599999999999939,2023-12
816749,1764786,2023-12-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0097,0.8175,0.9111,"0,05","0,86","0,97","10473,260323","99,98",369,0,1900-01-01,0.1922,-0.7189,-0.7078,0.0045,0.0045000000000000595,2023-12
