Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
837108,1785145,2024-02-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9245,0.75,0.8172,"0,03","0,79","0,85","10606,42824","100,11",345,0,1900-01-01,0.1745,-0.6427,-0.7255,-0.0045999999999999,-0.0045999999999999375,2024-02
838009,1787848,2024-02-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9737,0.7498,0.85,"0,05","0,81","0,9","10606,502317","100,07",344,0,1900-01-01,0.2239,-0.6261,-0.6761,0.0327999999999999,0.03279999999999994,2024-02
838910,1788749,2024-02-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9937,0.75,0.8647,"0,04","0,83","0,9","10609,202048","100,05",343,0,1900-01-01,0.2437,-0.621,-0.6563,0.0147,0.014700000000000046,2024-02
839811,1789650,2024-02-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9949,0.75,0.8472,"0,04","0,81","0,88","10616,519037","100,07",342,0,1900-01-01,0.2449,-0.6023,-0.6551,-0.0175,-0.01750000000000007,2024-02
840712,1790551,2024-02-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.972,0.75,0.84,"0,04","0,8","0,88","10622,35574","100,08",341,0,1900-01-01,0.2219999999999999,-0.618,-0.678,-0.0071999999999999,-0.007199999999999984,2024-02
841613,1791452,2024-02-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9467,0.7488,0.8318,"0,04","0,79","0,87","10628,329858","100,09",340,0,1900-01-01,0.1978999999999999,-0.6339,-0.7021000000000001,-0.0081999999999999,-0.008199999999999985,2024-02
842514,1792353,2024-02-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9716,0.7488,0.8477,"0,04","0,8","0,89","10630,88172","100,07",339,0,1900-01-01,0.2228,-0.6249,-0.6772,0.0159,0.015900000000000025,2024-02
844310,1795050,2024-02-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9705,0.75,0.8457,"0,04","0,8","0,89","10635,980178","100,07",338,0,1900-01-01,0.2205,-0.6252,-0.6795,-0.002,-0.0020000000000000018,2024-02
843414,1794154,2024-02-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9756,0.75,0.8488,"0,04","0,81","0,89","10007,223484","100,07",359,0,1900-01-01,0.2256,-0.6232,-0.6744,0.0030999999999999,0.0030999999999999917,2024-02
845211,1795951,2024-02-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9664,0.7529,0.8489,"0,04","0,81","0,89","10011,742229","100,07",357,0,1900-01-01,0.2135,-0.6354,-0.6865,9.9999999999989e-05,9.999999999998899e-05,2024-02
846144,1796884,2024-02-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9829,0.75,0.8533,"0,04","0,81","0,89","10015,661166","100,07",356,0,1900-01-01,0.2329,-0.6204,-0.6671,0.0043999999999999,0.0043999999999999595,2024-02
847007,1797747,2024-02-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.973,0.75,0.8563,"0,04","0,81","0,9","10019,781991","100,06",356,0,1900-01-01,0.2229999999999999,-0.6333,-0.677,0.003,0.0030000000000000027,2024-02
847896,1798636,2024-02-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.966,0.75,0.8383,"0,02","0,81","0,86","10026,842858","100,09",355,0,1900-01-01,0.2159999999999999,-0.6223000000000001,-0.684,-0.0179999999999999,-0.017999999999999905,2024-02
848789,1799529,2024-02-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.998,0.75,0.8509,"0,04","0,81","0,89","10029,622657","100,07",353,0,1900-01-01,0.248,-0.6029,-0.652,0.0125999999999999,0.012599999999999945,2024-02
849681,1800421,2024-02-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9551,0.75,0.8395,"0,04","0,8","0,88","10035,754377","100,08",352,0,1900-01-01,0.2050999999999999,-0.6344000000000001,-0.6949000000000001,-0.0113999999999999,-0.011399999999999966,2024-02
