Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
767119,1690328,2023-10-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3121,1.0401,1.1944,"0,06","1,14","1,25","10123,538621","99,51","428,03",0,1900-01-01,0.272,-0.9224,-0.628,0.0480999999999998,0.04809999999999981,2023-10
767939,1691967,2023-10-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3144,1.0537,1.1888,"0,04","1,15","1,23","10129,790856","99,52","426,7",0,1900-01-01,0.2606999999999999,-0.9281,-0.6393000000000001,-0.0055999999999998,-0.005599999999999827,2023-10
768758,1693605,2023-10-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3549,1.0569,1.2114,"0,05","1,16","1,26","10131,190163","99,48","426,02",0,1900-01-01,0.298,-0.9134,-0.602,0.0225999999999999,0.022599999999999953,2023-10
769577,1695243,2023-10-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3624,1.0515,1.2197,"0,06","1,16","1,28","10135,063363","99,47","425,01",0,1900-01-01,0.3108999999999999,-0.9088,-0.5891000000000001,0.0082999999999999,0.008299999999999974,2023-10
770396,1696881,2023-10-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3937,1.087,1.2352,"0,06","1,18","1,29","10137,727033","99,44","424,02",0,1900-01-01,0.3067,-0.9285,-0.5933,0.0155,0.01550000000000007,2023-10
771215,1698519,2023-10-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4082,1.1275,1.278,"0,07","1,21","1,35","10135,778868","99,37","423,26",0,1900-01-01,0.2806999999999999,-0.9973,-0.6193000000000001,0.0427999999999999,0.04279999999999995,2023-10
772034,1700157,2023-10-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4007,1.1289,1.2771,"0,07","1,21","1,34","10141,20557","99,38","422,44",0,1900-01-01,0.2718,-1.0053,-0.6282,-0.0009000000000001,-0.0009000000000001229,2023-10
772853,1702614,2023-10-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4039,1.1037,1.2735,"0,03","1,24","1,31","10147,15705","99,38","421,16",0,1900-01-01,0.3002,-0.9733,-0.5998,-0.0035999999999998,-0.0035999999999998256,2023-10
773672,1704252,2023-10-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3899,1.104,1.2636,"0,02","1,24","1,29","10154,159698","99,4","419,89",0,1900-01-01,0.2858999999999998,-0.9777000000000002,-0.6141000000000002,-0.0099,-0.00990000000000002,2023-10
774491,1705888,2023-10-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3626,1.1071,1.2296,"0,05","1,18","1,28","10165,116904","99,46","419,09",0,1900-01-01,0.2555,-0.9741,-0.6445,-0.034,-0.03400000000000003,2023-10
775308,1707522,2023-10-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3363,1.1056,1.2042,"0,05","1,15","1,26","10174,689162","99,5","417,81",0,1900-01-01,0.2307000000000001,-0.9734999999999998,-0.6692999999999999,-0.0254,-0.02540000000000009,2023-10
