Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
854207,1804947,2024-03-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9198,0.7259,0.8106,"0,03","0,78","0,84","10062,4731","100,12",348,0,1900-01-01,0.1938999999999999,-0.6167,-0.7061000000000001,-0.0171,-0.017100000000000004,2024-03
855115,1805855,2024-03-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9177,0.7339,0.8106,"0,03","0,78","0,84","10067,01799","100,12",347,0,1900-01-01,0.1837999999999999,-0.6268,-0.7162000000000001,0.0,0.0,2024-03
856023,1806763,2024-03-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9215,0.722,0.8043,"0,04","0,77","0,84","10072,430312","100,13",346,0,1900-01-01,0.1995,-0.6048,-0.7005,-0.0062999999999999,-0.006299999999999972,2024-03
856930,1807670,2024-03-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8879,0.7152,0.7953,"0,05","0,74","0,85","10078,206934","100,14",345,0,1900-01-01,0.1727,-0.6225999999999999,-0.7273,-0.009,-0.009000000000000008,2024-03
857838,1808578,2024-03-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8563,0.7164,0.7416,"0,05","0,69","0,8","10090,082457","100,21",344,0,1900-01-01,0.1398999999999999,-0.6017000000000001,-0.7601000000000001,-0.0536999999999999,-0.05369999999999997,2024-03
859057,1809797,2024-03-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8626,0.7014,0.7734,"0,06","0,71","0,83","10090,277815","100,17",343,0,1900-01-01,0.1612,-0.6122,-0.7388,0.0317999999999999,0.03179999999999994,2024-03
859651,1810391,2024-03-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8637,0.7006,0.7461,"0,05","0,7","0,8","10098,531181","100,21",342,0,1900-01-01,0.1631,-0.583,-0.7369,-0.0272999999999999,-0.02729999999999999,2024-03
860558,1811298,2024-03-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8371,0.7,0.7369,"0,06","0,68","0,8","10104,315881","100,22",341,0,1900-01-01,0.1371,-0.5998,-0.7629,-0.0091999999999999,-0.009199999999999986,2024-03
861467,1812207,2024-03-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.858,0.662,0.7446,"0,12","0,62","0,87","10107,807285","100,21",340,0,1900-01-01,0.1959999999999999,-0.5486000000000001,-0.7040000000000001,0.0077,0.00770000000000004,2024-03
862372,1813112,2024-03-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8595,0.6695,0.7439,"0,06","0,68","0,81","10112,433737","100,21",339,0,1900-01-01,0.19,-0.5539,-0.71,-0.0007,-0.0007000000000000339,2024-03
863278,1814018,2024-03-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8593,0.6982,0.7259,"0,05","0,68","0,78","10119,388284","100,23",337,0,1900-01-01,0.1610999999999999,-0.5648000000000001,-0.7389000000000001,-0.018,-0.018000000000000016,2024-03
864182,1814922,2024-03-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8523,0.6903,0.7475,"0,09","0,65","0,84","10121,023205","100,2",336,0,1900-01-01,0.1619999999999999,-0.5855000000000001,-0.7380000000000001,0.0216,0.021600000000000064,2024-03
