Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
817629,1765666,2024-01-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.03,0.8179,0.9047,"0,07","0,83","0,98","10484,148458","99,99",367,0,1900-01-01,0.2121,-0.6925999999999999,-0.6879,-0.0064,-0.006400000000000072,2024-01
818509,1766546,2024-01-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0112,0.8134,0.8969,"0,05","0,85","0,95","10490,288125",100,366,0,1900-01-01,0.1978000000000001,-0.6990999999999999,-0.7021999999999999,-0.0077999999999999,-0.007799999999999918,2024-01
819389,1767426,2024-01-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0135,0.8267,0.9079,"0,05","0,86","0,96","10493,589371","99,99",365,0,1900-01-01,0.1868,-0.7211,-0.7132,0.011,0.01100000000000001,2024-01
820397,1768434,2024-01-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0336,0.8133,0.9122,"0,04","0,88","0,95","10497,908862","99,98",364,0,1900-01-01,0.2203,-0.6919,-0.6797,0.0042999999999999,0.0042999999999999705,2024-01
821149,1769186,2024-01-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0347,0.8249,0.9215,"0,08","0,84",1,"10501,483955","99,97",363,0,1900-01-01,0.2098,-0.7117,-0.6902,0.0092999999999999,0.009299999999999975,2024-01
822029,1770066,2024-01-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0413,0.832,0.9254,"0,07","0,85",1,"10505,876821","99,96",362,0,1900-01-01,0.2092999999999999,-0.7161000000000001,-0.6907000000000001,0.0039,0.0039000000000000146,2024-01
822911,1770948,2024-01-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0514,0.8227,0.9296,"0,02","0,91","0,95","10510,229819","99,96",361,0,1900-01-01,0.2286999999999999,-0.7009000000000001,-0.6713000000000001,0.0041999999999999,0.0041999999999999815,2024-01
823789,1771826,2024-01-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0444,0.8141,0.9066,"0,04","0,87","0,94","10518,638746","99,99",360,0,1900-01-01,0.2302999999999999,-0.6763,-0.6697000000000001,-0.023,-0.02300000000000002,2024-01
824669,1772706,2024-01-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0427,0.8096,0.9223,"0,02","0,9","0,94","10521,281948","99,97",359,0,1900-01-01,0.2330999999999999,-0.6892,-0.6669,0.0157,0.015700000000000047,2024-01
825549,1773586,2024-01-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.0382,0.7949,0.909,"0,03","0,88","0,94","10528,239978","99,99",358,0,1900-01-01,0.2432999999999999,-0.6657000000000001,-0.6567000000000001,-0.0132999999999999,-0.013299999999999979,2024-01
